starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:37 2016	1469493457	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
Mon Jul 25 21:37:36 2016	1469493456	0	0	0	0
